datetime,open,high,low,close,volume
2026-01-30 00:00:00+00:00,84553.6875,84593.25,84064.421875,84109.7421875,0.0
2026-01-30 01:00:00+00:00,84070.5703125,84070.5703125,81479.8203125,82348.3984375,6574526464.0
2026-01-30 02:00:00+00:00,82350.1640625,82350.1640625,81075.1328125,81904.53125,2459353088.0
2026-01-30 03:00:00+00:00,82032.0625,82581.6640625,81969.328125,82581.6640625,1409638400.0
2026-01-30 04:00:00+00:00,82551.75,83130.3828125,82551.75,82798.3125,2365882368.0
2026-01-30 05:00:00+00:00,82784.0859375,83178.6796875,82784.0859375,82835.453125,349560832.0
2026-01-30 06:00:00+00:00,82785.5390625,82785.5390625,81949.140625,82440.125,1947443200.0
2026-01-30 07:00:00+00:00,82485.2421875,82920.640625,82343.875,82710.9453125,1404534784.0
2026-01-30 08:00:00+00:00,82688.2734375,82810.4453125,82344.0859375,82493.3515625,622706688.0
2026-01-30 09:00:00+00:00,82544.40625,82642.203125,82076.375,82209.171875,0.0
2026-01-30 10:00:00+00:00,82225.15625,82722.3515625,82057.5859375,82657.203125,1975410688.0
2026-01-30 11:00:00+00:00,82689.8515625,83098.0546875,82565.0,83055.71875,0.0
2026-01-30 12:00:00+00:00,83043.0546875,83167.1171875,82546.5234375,82632.265625,465207296.0
2026-01-30 13:00:00+00:00,82653.0625,82815.703125,82459.2890625,82570.15625,1722204160.0
2026-01-30 14:00:00+00:00,82610.84375,83562.625,82610.84375,82851.0234375,1577369600.0
2026-01-30 15:00:00+00:00,82890.3984375,83464.59375,82374.90625,82771.1953125,0.0
2026-01-30 16:00:00+00:00,82770.171875,83294.609375,82519.0078125,82971.6015625,0.0
2026-01-30 17:00:00+00:00,83006.765625,83309.3828125,82526.390625,82907.296875,0.0
2026-01-30 18:00:00+00:00,82828.015625,83851.125,81823.2578125,83851.125,0.0
2026-01-30 19:00:00+00:00,83824.8828125,84414.1875,83824.8828125,84213.6484375,956481536.0
2026-01-30 20:00:00+00:00,84120.6640625,84120.6640625,83425.53125,83716.234375,1311678464.0
2026-01-30 21:00:00+00:00,83824.3359375,84338.046875,83672.2109375,84250.5546875,0.0
2026-01-30 22:00:00+00:00,84203.7109375,84203.7109375,83782.0859375,84013.8515625,247824384.0
2026-01-30 23:00:00+00:00,84073.4921875,84153.4296875,83814.8828125,84118.9765625,0.0
2026-01-31 00:00:00+00:00,84121.6015625,84130.375,83886.6953125,83914.75,0.0
2026-01-31 01:00:00+00:00,83936.6640625,84103.828125,83792.3984375,83867.9453125,0.0
2026-01-31 02:00:00+00:00,83857.015625,84035.203125,83686.375,83986.765625,0.0
2026-01-31 03:00:00+00:00,83986.203125,84091.1015625,83896.1015625,83896.1015625,0.0
2026-01-31 04:00:00+00:00,83884.8515625,84005.359375,83806.6640625,83839.328125,0.0
2026-01-31 05:00:00+00:00,83851.0234375,83950.421875,83767.6875,83858.796875,0.0
2026-01-31 06:00:00+00:00,83860.34375,83877.8125,83515.4375,83629.1875,0.0
2026-01-31 07:00:00+00:00,83633.7109375,83644.375,83255.703125,83409.8046875,0.0
2026-01-31 08:00:00+00:00,83401.9921875,83450.9296875,82553.8046875,82968.609375,840929280.0
2026-01-31 09:00:00+00:00,82930.703125,83136.75,82777.4453125,83005.203125,0.0
2026-01-31 10:00:00+00:00,82963.265625,83045.8359375,82807.546875,83010.109375,0.0
2026-01-31 11:00:00+00:00,83000.546875,83000.546875,82720.984375,82843.46875,0.0
2026-01-31 12:00:00+00:00,82866.5234375,82979.6640625,82593.765625,82618.6796875,0.0
2026-01-31 13:00:00+00:00,82621.4765625,82770.4296875,82394.9609375,82607.328125,0.0
2026-01-31 14:00:00+00:00,82625.9296875,82775.578125,80851.734375,81360.4375,2602426368.0
2026-01-31 15:00:00+00:00,81367.0859375,81548.734375,81000.84375,81127.515625,0.0
2026-01-31 16:00:00+00:00,81181.5625,81708.4296875,80008.2109375,80141.0390625,4329385984.0
2026-01-31 17:00:00+00:00,80232.4140625,80397.9453125,78533.9921875,78709.8984375,6226350080.0
2026-01-31 18:00:00+00:00,78768.59375,78980.890625,76092.7890625,77837.171875,5326495744.0
2026-01-31 19:00:00+00:00,77932.796875,78229.4609375,77173.59375,77820.7421875,0.0
2026-01-31 20:00:00+00:00,77661.0390625,77975.796875,77033.0078125,77941.3203125,0.0
2026-01-31 21:00:00+00:00,77948.125,78229.1328125,77313.2265625,78229.1328125,1694023680.0
2026-01-31 22:00:00+00:00,78177.4609375,78374.46875,77911.875,78136.9921875,31563776.0
2026-01-31 23:00:00+00:00,78084.3671875,79122.1484375,78050.2265625,78706.203125,3107123200.0
2026-02-01 00:00:00+00:00,78655.09375,79284.5,78576.78125,78827.4453125,1376026624.0
2026-02-01 01:00:00+00:00,78823.6171875,78861.09375,78245.0078125,78418.0234375,541687808.0
2026-02-01 02:00:00+00:00,78433.078125,78927.8671875,78309.5,78844.2734375,670220288.0
2026-02-01 03:00:00+00:00,78856.28125,78910.1015625,78602.640625,78803.34375,583016448.0
2026-02-01 04:00:00+00:00,78790.4609375,79003.578125,78663.75,78940.9296875,89751552.0
2026-02-01 05:00:00+00:00,78914.46875,78914.46875,78490.1875,78510.140625,472121344.0
2026-02-01 06:00:00+00:00,78524.265625,78713.4296875,78207.578125,78250.0390625,626958336.0
2026-02-01 07:00:00+00:00,78231.734375,78585.125,77937.5234375,78274.625,138952704.0
2026-02-01 08:00:00+00:00,78269.703125,78778.640625,78213.296875,78507.0859375,0.0
2026-02-01 09:00:00+00:00,78518.1875,78978.7265625,78492.7734375,78978.7265625,0.0
2026-02-01 10:00:00+00:00,78977.8125,79117.34375,78076.1328125,78159.1953125,387915776.0
2026-02-01 11:00:00+00:00,78195.0625,78797.8984375,78195.0625,78672.671875,939835392.0
2026-02-01 12:00:00+00:00,78675.828125,78675.828125,78219.6484375,78421.515625,135454720.0
2026-02-01 13:00:00+00:00,78386.0546875,78669.5234375,78218.890625,78242.3203125,0.0
2026-02-01 14:00:00+00:00,78191.390625,78324.3125,77271.5390625,78308.2265625,0.0
2026-02-01 15:00:00+00:00,78204.0390625,78204.0390625,76879.5546875,77652.15625,1812144128.0
2026-02-01 16:00:00+00:00,77521.90625,77677.6953125,77063.640625,77376.4765625,0.0
2026-02-01 17:00:00+00:00,77414.203125,77658.8359375,77243.5546875,77600.8515625,0.0
2026-02-01 18:00:00+00:00,77670.421875,78303.7578125,77670.421875,77737.0625,0.0
2026-02-01 19:00:00+00:00,77965.265625,77965.265625,76932.9921875,77017.9296875,0.0
2026-02-01 20:00:00+00:00,77097.5859375,77470.4375,76586.546875,77010.90625,0.0
2026-02-01 21:00:00+00:00,77026.9609375,77055.703125,76376.3515625,76405.0,273088512.0
2026-02-01 22:00:00+00:00,76473.9453125,77527.2109375,76424.328125,77248.171875,346492928.0
2026-02-01 23:00:00+00:00,77169.71875,77383.71875,75730.4296875,77061.609375,3105988608.0
2026-02-02 00:00:00+00:00,76899.453125,78038.875,76641.46875,77585.1015625,289636352.0
2026-02-02 01:00:00+00:00,77613.953125,77833.8046875,76713.0703125,77462.3125,241242112.0
2026-02-02 02:00:00+00:00,77458.328125,77458.328125,76423.1640625,76423.1640625,379691008.0
